,Addendum A.- OPPS APCs for CY 2025,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,
APC,Group Title,SI,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,
1480,"Elosulfase alfa, injection",K,,$293.924,.,$58.79,,$58.79,,,
1482,"Darbepoetin alfa, esrd use",K,,$2.972,.,$0.60,,$0.60,,,
1485,"Ferumoxytol, esrd use",K,,$0.377,.,$0.08,,$0.08,,,
1486,Factor ix fc fusion recomb,K,,$3.575,.,$0.72,,$0.72,,,
1488,"Injection, ramucirumab",K,,$72.912,.,$14.59,,$14.59,,,
1489,Inj vedolizumab iv 1 mg,K,,$21.670,.,$4.34,,$4.34,,,
1490,Inj pembrolizumab,K,,$57.603,.,$11.53,,$11.53,,,
1491,New Technology  - Level 1A ($0-$10),S,,$5.000,.,$1.00,,,,,
1492,New Technology  - Level 1B ($11-$20),S,,$15.500,.,$3.10,,,,,
1493,New Technology  - Level 1C ($21-$30),S,,$25.500,.,$5.10,,,,,
1494,New Technology  - Level 1D ($31-$40),S,,$35.500,.,$7.10,,,,,
1495,New Technology  - Level 1E ($41-$50),S,,$45.500,.,$9.10,,,,,
1496,New Technology  - Level 1A ($0-$10),T,,$5.000,.,$1.00,,,,,
1497,New Technology  - Level 1B ($11-$20),T,,$15.500,.,$3.10,,,,,
1498,New Technology  - Level 1C ($21-$30),T,,$25.500,.,$5.10,,,,,
1499,New Technology  - Level 1D ($31-$40),T,,$35.500,.,$7.10,,,,,
1500,New Technology  - Level 1E ($41-$50),T,,$45.500,.,$9.10,,,,,
1502,New Technology - Level 2 ($51 - $100),S,,$75.500,.,$15.10,,,,,
1503,New Technology - Level 3 ($101 - $200),S,,$150.500,.,$30.10,,,,,
1504,New Technology - Level 4 ($201 - $300),S,,$250.500,.,$50.10,,,,,
1505,New Technology - Level 5 ($301 - $400),S,,$350.500,.,$70.10,,,,,
1506,New Technology - Level 6 ($401 - $500),S,,$450.500,.,$90.10,,,,,
1507,New Technology - Level 7 ($501 - $600),S,,$550.500,.,$110.10,,,,,
1508,New Technology - Level 8 ($601 - $700),S,,$650.500,.,$130.10,,,,,
1509,New Technology - Level 9 ($701 - $800),S,,$750.500,.,$0.00,,,,,
1510,New Technology - Level 10 ($801 - $900),S,,$850.500,.,$170.10,,,,,
1511,New Technology - Level 11 ($901 - $1000),S,,$950.500,.,$190.10,,,,,
1512,New Technology - Level 12 ($1001 - $1100),S,,"$1,050.500",.,$210.10,,,,,
1513,New Technology - Level 13 ($1101 - $1200),S,,"$1,150.500",.,$230.10,,,,,
1514,New Technology - Level 14 ($1201- $1300),S,,"$1,250.500",.,$250.10,,,,,
1515,New Technology - Level 15 ($1301 - $1400),S,,"$1,350.500",.,$270.10,,,,,
1516,New Technology - Level 16  ($1401 - $1500),S,,"$1,450.500",.,$290.10,,,,,
1517,New Technology - Level 17 ($1501-$1600),S,,"$1,550.500",.,$310.10,,,,,
1518,New Technology - Level 18 ($1601-$1700),S,,"$1,650.500",.,$330.10,,,,,
1519,New Technology - Level 19 ($1701-$1800),S,,"$1,750.500",.,$350.10,,,,,
1520,New Technology - Level 20 ($1801-$1900),S,,"$1,850.500",.,$370.10,,,,,
1521,New Technology - Level 21 ($1901-$2000),S,,"$1,950.500",.,$390.10,,,,,
1522,New Technology - Level 22 ($2001-$2500),S,,"$2,250.500",.,$450.10,,,,,
1523,New Technology - Level 23 ($2501-$3000),S,,"$2,750.500",.,$550.10,,,,,
1524,New Technology - Level 24 ($3001-$3500),S,,"$3,250.500",.,$650.10,,,,,
1525,New Technology - Level 25 ($3501-$4000),S,,"$3,750.500",.,$750.10,,,,,
1526,New Technology - Level 26 ($4001-$4500),S,,"$4,250.500",.,$850.10,,,,,
1527,New Technology - Level 27 ($4501-$5000),S,,"$4,750.500",.,$950.10,,,,,
1528,New Technology - Level 28 ($5001-$5500),S,,"$5,250.500",.,"$1,050.10",,,,,
1529,New Technology - Level 29 ($5501-$6000),S,,"$5,750.500",.,"$1,150.10",,,,,
1530,New Technology - Level 30 ($6001-$6500),S,,"$6,250.500",.,"$1,250.10",,,,,
1531,New Technology - Level 31 ($6501-$7000),S,,"$6,750.500",.,"$1,350.10",,,,,
1532,New Technology - Level 32 ($7001-$7500),S,,"$7,250.500",.,"$1,450.10",,,,,
1533,New Technology - Level 33 ($7501-$8000),S,,"$7,750.500",.,"$1,550.10",,,,,
1534,New Technology - Level 34 ($8001-$8500),S,,"$8,250.500",.,"$1,650.10",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
1535,New Technology - Level 35 ($8501-$9000),S,,"$8,750.500",.,"$1,750.10",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
1536,New Technology - Level 36 ($9001-$9500),S,,"$9,250.500",.,"$1,850.10",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
1537,New Technology - Level 37 ($9501-$10000),S,,"$9,750.500",.,"$1,950.10",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
1539,New Technology - Level 2 ($51 - $100),T,,$75.500,.,$15.10,,,,,
1540,New Technology - Level 3 ($101 - $200),T,,$150.500,.,$30.10,,,,,
1541,New Technology - Level 4 ($201 - $300),T,,$250.500,.,$50.10,,,,,
1542,New Technology - Level 5 ($301 - $400),T,,$350.500,.,$70.10,,,,,
1543,New Technology - Level 6 ($401 - $500),T,,$450.500,.,$90.10,,,,,
1544,New Technology - Level 7 ($501 - $600),T,,$550.500,.,$110.10,,,,,
1545,New Technology - Level 8 ($601 - $700),T,,$650.500,.,$130.10,,,,,
1546,New Technology - Level 9 ($701 - $800),T,,$750.500,.,$150.10,,,,,
1547,New Technology - Level 10 ($801 - $900),T,,$850.500,.,$170.10,,,,,
1548,New Technology - Level 11 ($901 - $1000),T,,$950.500,.,$190.10,,,,,
1549,New Technology - Level 12 ($1001 - $1100),T,,"$1,050.500",.,$210.10,,,,,
1550,New Technology - Level 13 ($1101 - $1200),T,,"$1,150.500",.,$230.10,,,,,
1551,New Technology - Level 14 ($1201- $1300),T,,"$1,250.500",.,$250.10,,,,,
1552,New Technology - Level 15 ($1301 - $1400),T,,"$1,350.500",.,$270.10,,,,,
1553,New Technology - Level 16 ($1401 - $1500),T,,"$1,450.500",.,$290.10,,,,,
1554,New Technology - Level 17 ($1501-$1600),T,,"$1,550.500",.,$310.10,,,,,
1555,New Technology - Level 18 ($1601-$1700),T,,"$1,650.500",.,$330.10,,,,,
1556,New Technology - Level 19 ($1701-$1800),T,,"$1,750.500",.,$350.10,,,,,
1557,New Technology - Level 20 ($1801-$1900),T,,"$1,850.500",.,$370.10,,,,,
1558,New Technology - Level 21 ($1901-$2000),T,,"$1,950.500",.,$390.10,,,,,
1559,New Technology - Level 22 ($2001-$2500),T,,"$2,250.500",.,$450.10,,,,,
1560,New Technology - Level 23 ($2501-$3000),T,,"$2,750.500",.,$550.10,,,,,
1561,New Technology - Level 24 ($3001-$3500),T,,"$3,250.500",.,$650.10,,,,,
1562,New Technology - Level 25 ($3501-$4000),T,,"$3,750.500",.,$750.10,,,,,
1563,New Technology - Level 26 ($4001-$4500),T,,"$4,250.500",.,$850.10,,,,,
1564,New Technology - Level 27 ($4501-$5000),T,,"$4,750.500",.,$950.10,,,,,
1565,New Technology - Level 28 ($5001-$5500),T,,"$5,250.500",.,"$1,050.10",,,,,
1566,New Technology - Level 29 ($5501-$6000),T,,"$5,750.500",.,"$1,150.10",,,,,
1567,New Technology - Level 30 ($6001-$6500),T,,"$6,250.500",.,"$1,250.10",,,,,
1568,New Technology - Level 31 ($6501-$7000),T,,"$6,750.500",.,"$1,350.10",,,,,
1569,New Technology - Level 32 ($7001-$7500),T,,"$7,250.500",.,"$1,450.10",,,,,
1570,New Technology - Level 33 ($7501-$8000),T,,"$7,750.500",.,"$1,550.10",,,,,
1571,New Technology - Level 34 ($8001-$8500),T,,"$8,250.500",.,"$1,650.10",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
